iter	Passed	Remaining
683	874	403
684	875	402
685	878	402
686	880	400
687	881	399
688	882	398
689	882	396
690	883	395
691	884	393
692	885	392
693	886	390
694	887	389
695	888	388
696	889	386
697	890	385
698	890	383
699	893	382
700	894	381
701	895	380
702	896	378
703	897	377
704	897	375
705	898	374
706	899	372
707	900	371
708	901	370
709	902	368
710	903	367
711	904	365
712	905	364
713	905	362
714	907	361
715	908	360
716	909	358
717	910	357
718	911	356
719	912	354
720	913	353
721	914	352
722	915	350
723	916	349
724	917	347
725	918	346
726	919	345
727	920	343
728	920	342
729	924	341
730	925	340
731	926	339
732	927	337
733	928	336
734	928	334
735	929	333
736	930	332
737	931	330
738	932	329
739	933	327
740	934	326
741	935	325
742	936	323
743	941	323
744	942	322
745	943	321
746	944	319
747	944	318
748	945	316
749	946	315
750	947	314
751	948	312
752	949	311
753	950	309
754	950	308
755	951	307
756	953	306
757	955	304
758	956	303
759	956	302
760	957	300
761	958	299
762	959	298
763	960	296
764	961	295
765	962	293
766	962	292
767	963	291
768	964	289
769	965	288
770	966	287
771	968	286
772	969	284
773	970	283
774	971	282
775	972	280
776	973	279
777	974	278
778	975	276
779	976	275
780	977	274
781	978	272
782	979	271
783	980	270
784	981	268
785	984	267
786	985	266
787	986	265
788	987	264
789	988	262
790	989	261
791	990	260
792	991	258
793	992	257
794	993	256
795	994	254
796	995	253
797	996	252
798	1002	252
799	1003	250
800	1004	249
801	1005	248
802	1006	247
803	1008	245
804	1009	244
805	1010	243
806	1011	241
807	1013	240
808	1014	239
809	1015	238
810	1016	236
811	1017	235
812	1018	234
813	1019	233
814	1020	231
815	1021	230
816	1023	229
817	1024	227
818	1025	226
819	1026	225
820	1029	224
821	1031	223
822	1032	221
823	1033	220
824	1034	219
825	1035	218
826	1035	216
827	1036	215
828	1037	214
829	1038	212
830	1039	211
831	1040	210
832	1041	208
833	1044	207
834	1045	206
835	1046	205
836	1048	204
837	1049	202
838	1050	201
839	1051	200
840	1052	198
841	1053	197
842	1054	196
843	1055	195
844	1056	193
845	1057	192
846	1058	191
847	1059	189
848	1061	188
849	1062	187
850	1063	186
851	1064	184
852	1065	183
853	1066	182
854	1066	180
855	1067	179
856	1068	178
857	1069	177
858	1070	175
859	1071	174
860	1073	173
861	1074	172
862	1075	170
863	1076	169
864	1077	168
865	1078	166
866	1079	165
867	1080	164
868	1080	162
869	1081	161
870	1082	160
871	1083	159
872	1084	157
873	1085	156
874	1086	155
875	1087	153
876	1090	152
877	1092	151
878	1093	150
879	1095	149
880	1096	148
881	1097	146
